       2755.0000000000        8836.0000000000    -2.55822    -2.55822
       3160.0000000000        8636.0000000000    -2.08901    -2.32362
       2595.0000000000        7563.0000000000    -1.98621    -2.21115
       2378.0000000000        6958.0000000000    -1.97989    -2.15333
       2916.0000000000        7626.0000000000    -1.94418    -2.11150
       3055.0000000000        7630.0000000000    -1.84259    -2.06668
       2778.0000000000        7010.0000000000    -1.78600    -2.02659
       2384.0000000000        6235.0000000000    -1.78081    -1.99587
       5134.0000000000        2134.0000000000    -1.62999    -1.95521
       3341.0000000000        7299.0000000000    -1.59892    -1.91958
       5132.0000000000        2135.0000000000    -1.55499    -1.88644
       5132.0000000000        2128.0000000000    -1.49225    -1.85359
       2366.0000000000        8092.0000000000    -1.46832    -1.82395
       3632.0000000000        5936.0000000000    -1.31868    -1.78786
       3008.0000000000        5108.0000000000    -1.28473    -1.75432
       4867.0000000000        1554.0000000000    -1.11395    -1.71430
       4184.0000000000        1070.0000000000    -1.11337    -1.67895
       4803.0000000000        1428.0000000000    -1.10267    -1.64693
       1823.0000000000        2052.0000000000    -1.09538    -1.61790
       5680.0000000000        2205.0000000000    -1.07546    -1.59078
       1952.0000000000        2166.0000000000    -1.05546    -1.56529
       5064.0000000000        1591.0000000000    -1.05046    -1.54189
       5155.0000000000        1771.0000000000    -1.04325    -1.52021
       5847.0000000000        2123.0000000000    -1.04165    -1.50027
       3270.0000000000        1051.0000000000    -1.02395    -1.48122
       5677.0000000000        2071.0000000000    -1.02064    -1.46350
       5752.0000000000        2656.0000000000    -1.00760    -1.44662
       3894.0000000000        4672.0000000000     -.98245    -1.43004
       2256.0000000000        4686.0000000000     -.97324    -1.41429
       3146.0000000000        1199.0000000000     -.96501    -1.39931
       6076.0000000000        2332.0000000000     -.96006    -1.38514
       4057.0000000000        4423.0000000000     -.93774    -1.37116
       5380.0000000000        1730.0000000000     -.93349    -1.35790
       2666.0000000000        3414.0000000000     -.91700    -1.34493
       2411.0000000000        2205.0000000000     -.87803    -1.33159
       2633.0000000000        2836.0000000000     -.87145    -1.31881
       5309.0000000000        2710.0000000000     -.86658    -1.30659
       3627.0000000000        4346.0000000000     -.85454    -1.29469
       2747.0000000000        1928.0000000000     -.78635    -1.28166
       4313.0000000000        4526.0000000000     -.77649    -1.26903
       5514.0000000000        1687.0000000000     -.75036    -1.25638
       2629.0000000000        8738.0000000000     -.72068    -1.24362
       4275.0000000000        5505.0000000000     -.71854    -1.23141
       3019.0000000000        1074.0000000000     -.71303    -1.21963
       1661.0000000000         281.0000000000     -.61775    -1.20625
       2578.0000000000        3720.0000000000     -.59193    -1.19290
       3773.0000000000        1644.0000000000     -.45969    -1.17730
       3975.0000000000        2970.0000000000     -.44659    -1.16208
       4119.0000000000        2800.0000000000     -.42214    -1.14698
       4120.0000000000        2797.0000000000     -.41455    -1.13233
       4958.0000000000        3483.0000000000     -.40073    -1.11798
       4985.0000000000        3756.0000000000     -.36753    -1.10355
       1642.0000000000         411.0000000000     -.36221    -1.08956
       5187.0000000000        2478.0000000000     -.34934    -1.07585
       1554.0000000000        7453.0000000000     -.32685    -1.06224
       5203.0000000000        2798.0000000000     -.25845    -1.04788
       4505.0000000000        3261.0000000000     -.05918    -1.03054
       5194.0000000000        2884.0000000000      .12219      .94170
       2802.0000000000        3572.0000000000      .24767     1.00024
       3056.0000000000        1378.0000000000      .33945     1.05812
       4903.0000000000        2676.0000000000      .48272     1.11801
       2251.0000000000         649.0000000000      .63182     1.17577
       1385.0000000000        8267.0000000000      .63860     1.23016
       6063.0000000000        1196.0000000000      .66878     1.29589
       4025.0000000000        2285.0000000000      .78363     1.37428
       2824.0000000000         450.0000000000      .79128     1.45866
       3433.0000000000        3143.0000000000      .96319     1.56989
       4650.0000000000        1645.0000000000     1.08037     1.69123
       4438.0000000000        3304.0000000000     1.13214     1.84395
       5556.0000000000        3580.0000000000     1.25960     2.08121
       5419.0000000000        4150.0000000000     2.02984     2.49202
       4259.0000000000        3214.0000000000     2.95420     2.95420
